"nome_officina","numero_intervento","codice_pezzo"
"Officina Tolmezzo","ASJ2880","PR016"
"Officina Tolmezzo","YTJ5733","PR032"
"Officina Palmanova","GZN8865","PR013"
"Officina Udine","HGO8380","PR001"
"Officina Tavagnacco","AKI7634","PR031"
"Officina Tolmezzo","IBX2007","PR023"
"Officina Fagagna","INJ4624","PR041"
"Officina Codroipo","PYS3054","PR038"
"Officina San Giorgio di Nogaro","GEO7476","PR035"
"Officina Azzano Decimo","ESE0491","PR046"
"Officina San Vito al Tagliamento","XVY4805","PR039"
"Officina Adegliaco","BMQ0834","PR044"
"Officina Codroipo","IVI1394","PR035"
"Officina Sacile","COT6362","PR050"
"Officina Spilimbergo","JLG1062","PR031"
"Officina Gemona","QDH3845","PR003"
"Officina Lignano Sabbiadoro","TMZ5705","PR035"
"Officina Tolmezzo","IEZ7437","PR007"
"Officina Monfalcone","HFE6758","PR018"
"Officina Maniago","ETI2973","PR008"
"Officina Tavagnacco","AUP6753","PR037"
"Officina Pordenone","YRB8190","PR050"
"Officina Cervignano del Friuli","VMO3036","PR015"
"Officina Buttrio","DMF4375","PR035"
"Officina Monfalcone","GXI0249","PR049"
"Officina Codroipo","OZJ5472","PR002"
"Officina Pasian di Prato","NAV3531","PR033"
"Officina Tolmezzo","ADP9684","PR032"
"Officina Tricesimo","AAT3691","PR046"
"Officina Palmanova","NSR9416","PR010"
"Officina San Vito al Tagliamento","UBH8653","PR015"
"Officina Spilimbergo","FBX5962","PR012"
"Officina Buttrio","ULK3409","PR015"
"Officina Buttrio","MLJ9954","PR048"
"Officina Spilimbergo","KRN7509","PR018"
"Officina San Daniele del Friuli","BOU6523","PR024"
"Officina Monfalcone","XLC9589","PR031"
"Officina Lignano Sabbiadoro","HYE4009","PR039"
"Officina Lignano Sabbiadoro","DWB8123","PR025"
"Officina Gemona","EAD0751","PR024"
"Officina Aquileia","KFC5949","PR027"
"Officina Cervignano del Friuli","SZH5295","PR025"
"Officina Tolmezzo","TIT4235","PR038"
"Officina Gorizia","XDL1014","PR044"
"Officina Spilimbergo","NZU4531","PR038"
"Officina Palmanova","ZRA0220","PR018"
"Officina Latisana","HEH4665","PR025"
"Officina Adegliaco","DFT6683","PR025"
"Officina Tricesimo","ZOH8953","PR003"
"Officina Trieste","RTW4580","PR016"
"Officina Spilimbergo","ZYG4157","PR033"
"Officina San Vito al Tagliamento","VMO0882","PR030"
"Officina Buttrio","EIT7442","PR031"
"Officina Monfalcone","FHO5439","PR004"
"Officina Tricesimo","OYA2751","PR032"
"Officina Aquileia","IYJ8698","PR049"
"Officina Gorizia","UKX0301","PR025"
"Officina Cividale del Friuli","UVM0372","PR019"
"Officina Azzano Decimo","AJW3800","PR002"
"Officina Tavagnacco","GXH6742","PR025"
"Officina Maniago","PIJ8066","PR029"
"Officina Latisana","EKR1757","PR027"
"Officina San Giorgio di Nogaro","YTC8257","PR013"
"Officina Maniago","NMY8752","PR048"
"Officina Latisana","EMO1392","PR050"
"Officina Aquileia","VNE9576","PR010"
"Officina Codroipo","SDF5935","PR036"
"Officina Pasian di Prato","JGO7899","PR011"
"Officina Cervignano del Friuli","MKC9961","PR043"
"Officina Tolmezzo","WGL9810","PR018"
"Officina San Daniele del Friuli","RZO4442","PR018"
"Officina San Vito al Tagliamento","LEV0653","PR026"
"Officina San Vito al Tagliamento","BJI4948","PR006"
"Officina Monfalcone","XWN3831","PR031"
"Officina Latisana","CJJ3008","PR031"
"Officina Sacile","NXP4417","PR001"
"Officina Monfalcone","QSQ2852","PR017"
"Officina Cividale del Friuli","VPH1361","PR036"
"Officina Adegliaco","OBK7498","PR021"
"Officina Tavagnacco","UYG1072","PR013"
"Officina Monfalcone","COU7232","PR015"
"Officina Codroipo","ZIZ6281","PR008"
"Officina San Vito al Tagliamento","XHJ3537","PR024"
"Officina Lignano Sabbiadoro","MOM0977","PR003"
"Officina Maniago","UUD2106","PR049"
"Officina Tricesimo","AQD6393","PR032"
"Officina Monfalcone","VZX7540","PR013"
"Officina Latisana","VZJ6973","PR045"
"Officina Tricesimo","FCA5006","PR024"
"Officina Latisana","OZR5604","PR043"
"Officina Azzano Decimo","TJC1826","PR047"
"Officina Azzano Decimo","EAS9646","PR022"
"Officina Buttrio","QPT4716","PR039"
"Officina Tavagnacco","YRQ7015","PR007"
"Officina San Daniele del Friuli","KTS5322","PR017"
"Officina Cividale del Friuli","LKN9757","PR018"
"Officina Buttrio","MAW3146","PR033"
"Officina Trieste","UUQ4122","PR032"
"Officina Azzano Decimo","AOE0562","PR046"
"Officina Pordenone","MKJ3542","PR039"
"Officina Codroipo","ZAM9345","PR040"
"Officina Tricesimo","ETN9634","PR001"
"Officina Gorizia","FMN7222","PR031"
"Officina Tarvisio","IIF1753","PR007"
"Officina Tarvisio","UZJ8436","PR039"
"Officina Tricesimo","QAG8409","PR032"
"Officina San Giorgio di Nogaro","NQF7438","PR040"
"Officina Monfalcone","RMV3947","PR036"
"Officina Pordenone","PNI0674","PR024"
"Officina Sacile","KCT3474","PR041"
"Officina Tavagnacco","USG8424","PR030"
"Officina San Giorgio di Nogaro","UEI1571","PR042"
"Officina Tricesimo","WBD4507","PR005"
"Officina Udine","BQZ3744","PR039"
"Officina Latisana","STE2410","PR020"
"Officina Adegliaco","OJQ4298","PR046"
"Officina Lignano Sabbiadoro","FKJ8397","PR008"
"Officina Gorizia","FXD9022","PR006"
"Officina Monfalcone","PEL0683","PR050"
"Officina Udine","DPQ0604","PR023"
"Officina Buttrio","HMI2597","PR032"
"Officina Gorizia","MFG9902","PR048"
"Officina Udine","GVL7952","PR045"
"Officina Buttrio","FHM8866","PR022"
"Officina Cervignano del Friuli","BBA6951","PR002"
"Officina Tarvisio","JZT3245","PR039"
"Officina Codroipo","KRI5849","PR047"
"Officina Cividale del Friuli","BJL0139","PR005"
"Officina Lignano Sabbiadoro","XJT4875","PR042"
"Officina Tolmezzo","FLH6777","PR046"
"Officina Codroipo","JQS7326","PR033"
"Officina Latisana","YLW9204","PR036"
"Officina Buttrio","PLW0005","PR045"
"Officina San Daniele del Friuli","HNZ3379","PR026"
"Officina Spilimbergo","JDS9217","PR008"
"Officina Monfalcone","EYM5756","PR024"
"Officina Cervignano del Friuli","QUJ2258","PR045"
"Officina Buttrio","FXN9532","PR010"
"Officina Udine","RNO4035","PR013"
"Officina Trieste","GMO1359","PR006"
"Officina Tricesimo","MOT6110","PR031"
"Officina Sacile","RVY5974","PR015"
"Officina Monfalcone","RJT9723","PR026"
"Officina San Giorgio di Nogaro","MJN0066","PR044"
"Officina Gemona","QJG6545","PR018"
"Officina Tavagnacco","JDW2744","PR017"
"Officina San Vito al Tagliamento","CIK0519","PR035"
"Officina Sacile","IVY1366","PR035"
"Officina Spilimbergo","RXA5168","PR018"
"Officina Buttrio","RVP0770","PR044"
"Officina Aquileia","WOK2640","PR031"
"Officina Maniago","VEA3360","PR007"
"Officina Tarvisio","LEU5008","PR048"
"Officina Udine","IDG2447","PR042"
"Officina Cervignano del Friuli","MEM7088","PR002"
"Officina Udine","SER7690","PR006"
"Officina Monfalcone","RRY5421","PR018"
"Officina Codroipo","FCM3702","PR048"
"Officina Latisana","KLA4241","PR045"
"Officina Buttrio","IWX6208","PR019"
"Officina Sacile","CYB6250","PR039"
"Officina Monfalcone","LQD3399","PR018"
"Officina Tolmezzo","JXF9479","PR038"
"Officina San Daniele del Friuli","XGP7206","PR010"
"Officina Trieste","RJX2468","PR042"
"Officina San Vito al Tagliamento","LZV5331","PR035"
"Officina Udine","EGY5376","PR001"
"Officina Tolmezzo","SQI0230","PR018"
"Officina Pasian di Prato","DLN5923","PR013"
"Officina Cervignano del Friuli","ESN0734","PR007"
"Officina Cervignano del Friuli","GHY3828","PR042"
"Officina Gemona","TWL1160","PR023"
"Officina Palmanova","DTD6400","PR041"
"Officina Codroipo","AZA0182","PR027"
"Officina Monfalcone","KQB8671","PR006"
"Officina Gorizia","HPA5319","PR020"
"Officina Trieste","VWH0075","PR019"
"Officina Latisana","WRO7537","PR043"
"Officina Udine","IWQ5549","PR005"
"Officina Cervignano del Friuli","ZFX5249","PR036"
"Officina Codroipo","UOS0978","PR035"
"Officina San Daniele del Friuli","PKA5960","PR050"
"Officina Gorizia","NJP0825","PR028"
"Officina Gemona","KOV5387","PR044"
"Officina Udine","QYK9632","PR004"
"Officina San Vito al Tagliamento","OVC4391","PR003"
"Officina Tolmezzo","LVP0027","PR014"
"Officina Pordenone","CNY0610","PR012"
"Officina Lignano Sabbiadoro","HSM0553","PR032"
"Officina Palmanova","OLJ7403","PR018"
"Officina San Giorgio di Nogaro","RMV1672","PR041"
"Officina Trieste","YEA7072","PR008"
"Officina Buttrio","VBK4667","PR010"
"Officina Adegliaco","PNC1272","PR009"
"Officina Lignano Sabbiadoro","IVM0278","PR026"
"Officina Udine","HVO3472","PR005"
"Officina San Giorgio di Nogaro","CIP1594","PR022"
"Officina Latisana","VKH8744","PR027"
"Officina Buttrio","KTE6332","PR017"
"Officina Udine","TLN0382","PR017"
"Officina Tolmezzo","NLA0763","PR004"
"Officina Tavagnacco","TQO3647","PR030"
"Officina Gemona","RNG2871","PR027"
"Officina Gemona","TSL2072","PR014"
"Officina Pordenone","DDZ0018","PR026"
"Officina Fagagna","HRQ8067","PR037"
"Officina Buttrio","ESK2169","PR027"
"Officina Cervignano del Friuli","ZZE6092","PR024"
"Officina Buttrio","DPW2472","PR035"
"Officina Maniago","VAG9997","PR006"
"Officina Tolmezzo","VRM5624","PR043"
"Officina Fagagna","QUZ8833","PR026"
"Officina San Vito al Tagliamento","QNZ7149","PR031"
"Officina San Giorgio di Nogaro","DHY8159","PR018"
"Officina Spilimbergo","NVG3045","PR010"
"Officina Maniago","XBP7635","PR031"
"Officina Palmanova","AVU7428","PR045"
"Officina Tolmezzo","AHB5089","PR018"
"Officina Azzano Decimo","REL0998","PR016"
"Officina San Daniele del Friuli","ABN8219","PR048"
"Officina Palmanova","TFZ7636","PR040"
"Officina Tolmezzo","FRM9122","PR043"
"Officina Maniago","LQQ8185","PR032"
"Officina Gorizia","HJQ5197","PR050"
"Officina Pasian di Prato","CWO8035","PR044"
"Officina Cividale del Friuli","THQ1972","PR042"
"Officina San Daniele del Friuli","MBH6094","PR013"
"Officina Adegliaco","NHJ4043","PR039"
"Officina Maniago","VQH8414","PR044"
"Officina Trieste","ARB2523","PR041"
"Officina Tavagnacco","AQW1109","PR007"
"Officina Adegliaco","ZLG6354","PR050"
"Officina Adegliaco","SHZ9484","PR038"
"Officina Adegliaco","EFO3965","PR041"
"Officina Udine","TVR4425","PR008"
"Officina Cividale del Friuli","BLM0871","PR009"
"Officina Udine","NRT2636","PR038"
"Officina Pordenone","KED1707","PR018"
"Officina Tolmezzo","VXQ7028","PR026"
"Officina Fagagna","TRV5347","PR015"
"Officina Codroipo","IIP4751","PR013"
"Officina Buttrio","HTP6513","PR001"
"Officina Trieste","NPW7915","PR010"
"Officina San Daniele del Friuli","YBE0485","PR042"
"Officina Pordenone","LSF6530","PR019"
"Officina Aquileia","MCH2343","PR046"
"Officina Maniago","LSH1389","PR004"
"Officina Spilimbergo","MAF0921","PR037"
"Officina Buttrio","QXM4745","PR016"
"Officina Pasian di Prato","PDN7906","PR046"
"Officina Gemona","BYU5789","PR022"
"Officina Latisana","WFD2142","PR020"
"Officina Tavagnacco","GEY2657","PR049"
"Officina Lignano Sabbiadoro","JJS3193","PR029"
"Officina Udine","FNL1854","PR020"
"Officina Pordenone","VAF3167","PR047"
"Officina Fagagna","APB5194","PR027"
"Officina Fagagna","SNN4357","PR037"
"Officina Tolmezzo","STI9805","PR010"
"Officina Tavagnacco","DRR9651","PR003"
"Officina Tavagnacco","OGP9180","PR005"
"Officina Codroipo","TZV6961","PR018"
"Officina Maniago","FMT6143","PR004"
"Officina Gorizia","VFI5231","PR042"
"Officina Fagagna","GVT5844","PR037"
"Officina Aquileia","VNB8968","PR028"
"Officina San Giorgio di Nogaro","VYH1310","PR025"
"Officina Udine","BLO7463","PR036"
"Officina Buttrio","DBZ3692","PR007"
"Officina Lignano Sabbiadoro","HEX2743","PR044"
"Officina Monfalcone","CDD1536","PR025"
"Officina Maniago","WNG0260","PR002"
"Officina Cividale del Friuli","OSV0266","PR010"
"Officina Tavagnacco","NOG1307","PR022"
"Officina Palmanova","ITW1320","PR012"
"Officina Gemona","TXP9428","PR042"
"Officina Latisana","VOU6098","PR028"
"Officina Cividale del Friuli","BHC3657","PR030"
"Officina Pasian di Prato","QWH8394","PR011"
"Officina Gemona","WAM1961","PR009"
"Officina Udine","IYO0603","PR049"
"Officina Buttrio","JMN7024","PR025"
"Officina Azzano Decimo","YPZ9341","PR026"
"Officina San Giorgio di Nogaro","FKY2855","PR040"
"Officina Tricesimo","RPA5139","PR027"
"Officina Tavagnacco","LCJ4896","PR005"
"Officina Palmanova","TAV7876","PR027"
"Officina Maniago","UKM1773","PR016"
"Officina San Giorgio di Nogaro","NNJ7765","PR049"
"Officina Codroipo","IXA4373","PR026"
"Officina Spilimbergo","JLA2113","PR003"
"Officina Trieste","WIC5190","PR027"
"Officina Tolmezzo","XLL5239","PR034"
"Officina Gorizia","BTO7097","PR022"
"Officina Maniago","CIN8642","PR050"
"Officina Gorizia","IWQ0903","PR030"
"Officina Latisana","RIW8682","PR032"
"Officina Tavagnacco","TJO1540","PR032"
"Officina Azzano Decimo","HGK4297","PR011"
"Officina Pordenone","XVZ5853","PR017"
"Officina Cividale del Friuli","UIG0207","PR005"
"Officina Spilimbergo","SSE8399","PR042"
"Officina Codroipo","LJM1966","PR038"
"Officina Sacile","UWM5047","PR043"
"Officina Lignano Sabbiadoro","TGG6251","PR010"
"Officina Sacile","CBN8621","PR004"
"Officina Spilimbergo","IVL8252","PR048"
"Officina Adegliaco","ACV8806","PR024"
"Officina Cervignano del Friuli","CRC0398","PR045"
"Officina Pordenone","KFL8684","PR014"
"Officina Latisana","NVC2315","PR037"
"Officina Gorizia","HHE7233","PR006"
"Officina Gorizia","HZJ0295","PR036"
"Officina San Daniele del Friuli","ITU7289","PR030"
"Officina Monfalcone","WXX0898","PR018"
"Officina Codroipo","XYA1675","PR024"
"Officina Trieste","EFR4908","PR046"
"Officina Aquileia","HJE4819","PR042"
"Officina Trieste","SJQ8817","PR023"
"Officina Gorizia","RTU2839","PR016"
"Officina Tavagnacco","WLV9458","PR001"
"Officina Gemona","SBA6293","PR023"
"Officina Codroipo","WPL0773","PR026"
"Officina Azzano Decimo","XDL9571","PR033"
"Officina Sacile","CHG3533","PR046"
"Officina Tricesimo","SXM0562","PR003"
"Officina Gorizia","LLK5939","PR028"
"Officina Gemona","LIS9025","PR005"
"Officina San Vito al Tagliamento","DMV4276","PR022"
"Officina Azzano Decimo","EWV1253","PR031"
"Officina Tarvisio","JGR9131","PR013"
"Officina Buttrio","LRG3660","PR013"
"Officina Udine","HMD3216","PR010"
"Officina Lignano Sabbiadoro","ZJM2990","PR023"
"Officina Cervignano del Friuli","PYL0257","PR032"
"Officina Pasian di Prato","XUC0828","PR012"
"Officina San Giorgio di Nogaro","WKL3127","PR021"
"Officina Buttrio","TVF1697","PR040"
"Officina Codroipo","WOL4721","PR049"
"Officina Udine","QEZ4735","PR021"
"Officina Azzano Decimo","DJB6556","PR016"
"Officina Trieste","GUA8319","PR038"
"Officina Maniago","IOU7573","PR008"
"Officina San Giorgio di Nogaro","GKA2645","PR007"
"Officina Gemona","NOP1298","PR050"
"Officina San Giorgio di Nogaro","SGR5009","PR006"
"Officina Gorizia","SYE3799","PR009"
"Officina Udine","TCE7140","PR035"
"Officina San Daniele del Friuli","SMX4342","PR017"
"Officina Gemona","FPN8332","PR037"
"Officina Tolmezzo","YPP8438","PR011"
"Officina Tricesimo","BFR9528","PR007"
"Officina Sacile","NJX7358","PR046"
"Officina Udine","IYR4165","PR045"
"Officina Monfalcone","AAW8022","PR044"
"Officina Pordenone","XUG5217","PR033"
"Officina Tolmezzo","BLY9150","PR032"
"Officina Azzano Decimo","LSN4004","PR009"
"Officina Fagagna","GCC6126","PR037"
"Officina Tolmezzo","NLZ4669","PR014"
"Officina Lignano Sabbiadoro","KJJ8605","PR042"
"Officina Azzano Decimo","BWN6287","PR048"
"Officina Pasian di Prato","SQM6267","PR027"
"Officina Azzano Decimo","INH8725","PR026"
"Officina Aquileia","DBC7951","PR016"
"Officina Cervignano del Friuli","FXQ6535","PR030"
"Officina Aquileia","EJI1880","PR002"
"Officina Palmanova","ASZ3014","PR042"
"Officina Cividale del Friuli","FHN1531","PR008"
"Officina Gemona","VKI1815","PR005"
"Officina Spilimbergo","YDI7931","PR007"
"Officina Tricesimo","TJG1678","PR038"
"Officina Tolmezzo","NQZ0019","PR029"
"Officina Lignano Sabbiadoro","UNA6049","PR047"
"Officina Tolmezzo","RIZ1385","PR043"
"Officina Tricesimo","AUS8577","PR004"
"Officina San Daniele del Friuli","JJW2810","PR030"
"Officina Monfalcone","IJF5103","PR008"
"Officina Gemona","XKH6817","PR043"
"Officina Gorizia","ZTD5353","PR007"
"Officina Aquileia","TUL8267","PR044"
"Officina Latisana","PCD2422","PR005"
"Officina Tolmezzo","VAN2302","PR004"
"Officina Trieste","JJS2804","PR038"
"Officina San Giorgio di Nogaro","XCU1749","PR024"
"Officina Aquileia","LOO1114","PR016"
"Officina Tarvisio","WEJ2889","PR008"
"Officina Fagagna","SWC7841","PR031"
"Officina Lignano Sabbiadoro","CZD1282","PR036"
"Officina Tolmezzo","KYR7122","PR013"
"Officina Lignano Sabbiadoro","YHQ0460","PR041"
"Officina Buttrio","XJR3714","PR049"
"Officina Pasian di Prato","URD9134","PR019"
"Officina Cividale del Friuli","HXW0670","PR015"
"Officina Adegliaco","OUN9823","PR019"
"Officina Azzano Decimo","RCO2342","PR025"
"Officina San Giorgio di Nogaro","YOL5019","PR050"
"Officina Pasian di Prato","AGS1305","PR021"
"Officina Aquileia","LPA4437","PR026"
"Officina San Daniele del Friuli","BWW7306","PR032"
"Officina Buttrio","JFL3400","PR019"
"Officina San Giorgio di Nogaro","SAX9777","PR029"
"Officina Gemona","XPF6863","PR022"
"Officina Gemona","ONS2244","PR025"
"Officina Tavagnacco","VOJ5870","PR049"
"Officina San Vito al Tagliamento","PMN8688","PR013"
"Officina Tolmezzo","FOM3248","PR001"
"Officina Cervignano del Friuli","NFB4111","PR031"
"Officina Monfalcone","EZG8089","PR021"
"Officina Azzano Decimo","RRO3629","PR015"
"Officina Trieste","MCL8003","PR033"
"Officina Gorizia","NPO5275","PR024"
"Officina Pasian di Prato","QCW6241","PR036"
"Officina Tolmezzo","BMK4544","PR004"
"Officina Gorizia","NXD1196","PR037"
"Officina Cividale del Friuli","YBM7571","PR050"
"Officina Palmanova","VWZ4971","PR033"
"Officina Aquileia","JDZ9389","PR005"
"Officina San Vito al Tagliamento","NTK4211","PR026"
"Officina Gorizia","UOI7072","PR040"
"Officina Gemona","QSJ6515","PR049"
"Officina Azzano Decimo","GPY3417","PR029"
"Officina Maniago","EFR5528","PR048"
"Officina Palmanova","KLD5240","PR040"
"Officina Gorizia","KXW0019","PR050"
"Officina Aquileia","PRB1127","PR026"
"Officina Tolmezzo","OZG9795","PR050"
"Officina Gemona","OBN6215","PR001"
"Officina Gemona","RSH8568","PR037"
"Officina Cividale del Friuli","BNU2993","PR001"
"Officina Pasian di Prato","WVT4459","PR011"
"Officina Cividale del Friuli","YWM1352","PR017"
"Officina Sacile","FBF8272","PR014"
"Officina Tolmezzo","EQM5386","PR038"
"Officina Pasian di Prato","GVX1661","PR020"
"Officina Aquileia","MUH5239","PR011"
"Officina Aquileia","CON9153","PR007"
"Officina Tarvisio","ZVI7851","PR004"
"Officina Trieste","SZV1226","PR039"
"Officina Trieste","LBS1437","PR023"
"Officina Buttrio","GRZ0534","PR050"
"Officina San Vito al Tagliamento","MGR2101","PR034"
"Officina Maniago","CIK2301","PR011"
"Officina Adegliaco","VUU4705","PR031"
"Officina Gorizia","NIZ3353","PR044"
"Officina San Giorgio di Nogaro","FVM9308","PR046"
"Officina Tolmezzo","DEZ5088","PR045"
"Officina Adegliaco","WLB4218","PR049"
"Officina Udine","LSZ6066","PR047"
"Officina Monfalcone","PVZ3522","PR049"
"Officina Sacile","LJL4009","PR022"
"Officina San Vito al Tagliamento","QQQ3372","PR034"
"Officina Pasian di Prato","KAE4784","PR006"
"Officina Lignano Sabbiadoro","RTA7000","PR045"
"Officina Spilimbergo","EDJ9401","PR030"
"Officina San Giorgio di Nogaro","BPC7914","PR018"
"Officina Tricesimo","RBT3123","PR024"
"Officina San Vito al Tagliamento","XVV1558","PR030"
"Officina Gemona","TLR3129","PR019"
"Officina San Vito al Tagliamento","CRQ6290","PR015"
"Officina Spilimbergo","RWF1284","PR037"
"Officina Sacile","XBE6125","PR048"
"Officina Tarvisio","WXH6230","PR016"
"Officina Tavagnacco","PXG7352","PR028"
"Officina Tarvisio","FSW1142","PR009"
"Officina Azzano Decimo","ZHK2757","PR049"
"Officina Tavagnacco","AGD7285","PR041"
"Officina Palmanova","KNL6261","PR027"
"Officina San Giorgio di Nogaro","QJQ4281","PR025"
"Officina Tarvisio","QLW6127","PR006"
"Officina Spilimbergo","VUZ7728","PR037"
"Officina Aquileia","DDI0184","PR027"
"Officina Cervignano del Friuli","DGZ0413","PR019"
"Officina Spilimbergo","PXY9184","PR007"
"Officina Monfalcone","ZKE6013","PR021"
"Officina Spilimbergo","QXQ4000","PR014"
"Officina Cervignano del Friuli","QRH1174","PR030"
"Officina Fagagna","SEH5616","PR042"
"Officina Adegliaco","YIY1588","PR032"
"Officina Trieste","XSA0235","PR044"
"Officina Palmanova","BPV0141","PR039"
"Officina Maniago","LVN4287","PR018"
"Officina Pordenone","PLR4039","PR042"
"Officina Pordenone","DPH8952","PR021"
"Officina San Vito al Tagliamento","ARQ8341","PR040"
"Officina Palmanova","DAK3219","PR020"
"Officina Cervignano del Friuli","AVD8739","PR005"
"Officina Azzano Decimo","IKX0364","PR045"
"Officina San Vito al Tagliamento","CMY0503","PR015"
"Officina Buttrio","THF0533","PR033"
"Officina Buttrio","LCC3142","PR043"
"Officina Tricesimo","SDU3939","PR044"
"Officina Udine","LAZ0311","PR030"
"Officina Aquileia","FEK2605","PR013"
"Officina Tricesimo","NBL6380","PR049"
"Officina Sacile","KAK5724","PR047"
"Officina Palmanova","IMQ6032","PR034"
"Officina Cervignano del Friuli","UGC7213","PR047"
"Officina Pordenone","LBL4604","PR001"
"Officina Tricesimo","IUI9230","PR011"
"Officina Aquileia","TXU4487","PR027"
"Officina Tavagnacco","MBN2059","PR004"
"Officina Lignano Sabbiadoro","ZOG1111","PR005"
"Officina Aquileia","QXR9003","PR046"
"Officina Pasian di Prato","QGR6343","PR006"
"Officina Tolmezzo","LTK0060","PR030"
"Officina Cervignano del Friuli","NME0885","PR016"
"Officina Buttrio","CLI7842","PR010"
"Officina San Daniele del Friuli","TFY7317","PR029"
"Officina Spilimbergo","AEK3870","PR006"
"Officina Udine","NHT3707","PR029"
"Officina Monfalcone","BZC1379","PR014"
"Officina Gemona","DAP8481","PR037"
"Officina Cervignano del Friuli","KMY7689","PR005"
"Officina Lignano Sabbiadoro","GEP2724","PR046"
"Officina Gorizia","VGV1787","PR050"
"Officina Palmanova","KAE1703","PR043"
"Officina Cividale del Friuli","JLD9122","PR024"
"Officina Spilimbergo","KHH9687","PR009"
"Officina Tavagnacco","ICB4843","PR043"
"Officina Latisana","DLK0325","PR050"
"Officina Cervignano del Friuli","EKD4648","PR002"
"Officina Aquileia","AFU8818","PR042"
"Officina Gemona","DET7835","PR045"
"Officina Codroipo","TZK8784","PR050"
"Officina Tricesimo","ONK3237","PR001"
"Officina Cividale del Friuli","CQZ6377","PR022"
"Officina Latisana","TZE1142","PR032"
"Officina Pordenone","XLE3458","PR035"
"Officina Trieste","RYM4215","PR033"
"Officina Spilimbergo","RLJ3465","PR018"
"Officina Tavagnacco","RKH0192","PR002"
"Officina Maniago","LKA5168","PR019"
"Officina Azzano Decimo","JKZ8828","PR046"
"Officina Latisana","ACH8221","PR006"
"Officina Tavagnacco","VFP1362","PR016"
"Officina Aquileia","HEN2002","PR019"
"Officina Fagagna","EWO7691","PR046"
"Officina San Daniele del Friuli","QCB8063","PR024"
"Officina Sacile","RUQ6380","PR012"
"Officina Maniago","AFO1356","PR044"
"Officina Tarvisio","EIW8507","PR037"
"Officina Monfalcone","IVY5544","PR032"
"Officina Adegliaco","RLL3112","PR007"
"Officina Cervignano del Friuli","PBO0042","PR033"
"Officina Cividale del Friuli","KXS7211","PR045"
"Officina Buttrio","CNB4458","PR017"
"Officina San Vito al Tagliamento","LZA0388","PR011"
"Officina Latisana","SAR0824","PR031"
"Officina San Daniele del Friuli","DFG3139","PR029"
"Officina Lignano Sabbiadoro","NKN0193","PR015"
"Officina Maniago","IAH1566","PR013"
"Officina Buttrio","NKQ1285","PR011"
"Officina Cividale del Friuli","ZVA5222","PR034"
"Officina San Vito al Tagliamento","PEP3509","PR024"
"Officina Sacile","QUF2560","PR025"
"Officina Tolmezzo","IPB9710","PR033"
"Officina San Giorgio di Nogaro","NQZ0359","PR048"
"Officina Azzano Decimo","PBX7292","PR008"
"Officina Cervignano del Friuli","FCA5738","PR015"
"Officina Trieste","NID4689","PR013"
"Officina Latisana","QTK8751","PR024"
"Officina Adegliaco","FKE3897","PR007"
"Officina Maniago","OBM5762","PR038"
"Officina Tavagnacco","STQ9359","PR026"
"Officina Codroipo","QHH5195","PR042"
"Officina Cividale del Friuli","VSP5829","PR031"
"Officina Palmanova","XLS3355","PR033"
"Officina Trieste","MST6936","PR043"
"Officina Sacile","TWF3303","PR045"
"Officina Tricesimo","VMC7721","PR033"
"Officina Azzano Decimo","DJE6472","PR043"
"Officina San Daniele del Friuli","SPK8910","PR030"
"Officina San Vito al Tagliamento","KKO6226","PR023"
"Officina Cervignano del Friuli","BJL8604","PR016"
"Officina Tavagnacco","JMF0238","PR001"
"Officina Gemona","VMJ3792","PR038"
"Officina Codroipo","HJB2002","PR026"
"Officina Fagagna","RGJ3512","PR020"
"Officina San Daniele del Friuli","JSZ3697","PR038"
"Officina Spilimbergo","NHY5029","PR037"
"Officina Palmanova","UWG6866","PR009"
"Officina Buttrio","ZWF5724","PR019"
"Officina Latisana","YQF2560","PR024"
"Officina Cervignano del Friuli","GJG7532","PR043"
"Officina Tricesimo","CAC0000","PR009"
"Officina Spilimbergo","JMT8056","PR019"
"Officina Udine","ZIP4178","PR028"
"Officina Adegliaco","USM0463","PR044"
"Officina Tolmezzo","YWT4816","PR008"
"Officina Monfalcone","GJS7798","PR047"
"Officina Palmanova","ETE9855","PR028"
"Officina Tricesimo","GFW4842","PR037"
"Officina Gemona","WED2775","PR044"
"Officina San Vito al Tagliamento","VHM4479","PR015"
"Officina Aquileia","CGS4668","PR033"
"Officina Fagagna","ITV4558","PR042"
"Officina Azzano Decimo","PBJ4725","PR041"
"Officina Azzano Decimo","CSS0014","PR045"
"Officina Adegliaco","EQS5222","PR017"
"Officina Spilimbergo","XFL7198","PR044"
"Officina Cividale del Friuli","BDS1598","PR010"
"Officina Fagagna","ZSJ9672","PR024"
"Officina Gemona","DWA4676","PR032"
"Officina San Vito al Tagliamento","NSF7267","PR001"
"Officina Cervignano del Friuli","ZWS6554","PR036"
"Officina Udine","ZQR6758","PR013"
"Officina Tavagnacco","GCK8543","PR026"
"Officina Fagagna","DRZ4526","PR022"
"Officina Buttrio","RMO3740","PR010"
"Officina Tricesimo","MJU6483","PR049"
"Officina Adegliaco","QUM5403","PR030"
"Officina Aquileia","HYU7621","PR010"
"Officina Cervignano del Friuli","SIH2002","PR050"
"Officina Aquileia","PKY4015","PR028"
"Officina San Daniele del Friuli","ROS9123","PR024"
